llm,merge,async
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.014705882352941176,0.058823529411764705,0.058823529411764705
0.65,0.65,0.65
0.75,0.75,0.75
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.8888888888888888,0.8888888888888888,0.8888888888888888
0.16666666666666666,0.16666666666666666,0.16666666666666666
1.0,1.0,1.0
0.5348837209302325,0.5348837209302325,0.5348837209302325
1.0,1.0,1.0
1.0,1.0,1.0
0.9047619047619048,0.9047619047619048,0.9047619047619048
0.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,1.0
0.6458333333333334,0.9166666666666666,0.9166666666666666
0.8974358974358975,0.8974358974358975,0.8974358974358975
0.0,0.0,0.0
0.8125,0.8125,0.8125
0.42857142857142855,0.42857142857142855,0.42857142857142855
1.0,1.0,1.0
0.9629629629629629,0.9629629629629629,0.9629629629629629
0.2857142857142857,0.2857142857142857,0.8095238095238095
1.0,1.0,1.0
0.07692307692307693,0.07692307692307693,0.07692307692307693
0.0,0.0,0.0
1.0,1.0,1.0
0.9523809523809523,0.9523809523809523,0.9523809523809523
0.8904109589041096,0.8904109589041096,0.8904109589041096
0.7142857142857143,0.7142857142857143,0.7142857142857143
0.38333333333333336,0.65,0.65
0.0,0.0,0.0
0.0,0.0,0.0
0.4583333333333333,0.6666666666666666,0.6666666666666666
0.0,0.782608695652174,0.782608695652174
0.0,0.0,0.0
0.0,0.6571428571428571,0.6571428571428571
0.9761904761904762,0.9761904761904762,0.9761904761904762
0.0,0.0,0.0
0.9881656804733728,0.9881656804733728,0.9881656804733728
0.9941860465116279,0.9941860465116279,0.9941860465116279
0.7407407407407407,0.7407407407407407,0.7407407407407407
1.0,1.0,1.0
0.5217391304347826,0.5217391304347826,0.5217391304347826
0.05,0.05,0.05
0.0,0.058823529411764705,0.058823529411764705
0.047619047619047616,0.047619047619047616,0.047619047619047616
0.0,0.0,0.0
0.25862068965517243,0.25862068965517243,0.25862068965517243
1.0,1.0,1.0
1.0,1.0,1.0
0.3125,0.9375,0.9375
0.0,0.0,0.0
0.75,0.75,0.75
0.8,0.8,0.8
0.0,0.9889135254988913,0.9889135254988913
0.05154639175257732,0.05154639175257732,0.05154639175257732
0.8795180722891566,0.8795180722891566,0.8795180722891566
0.9872881355932204,0.9872881355932204,0.9872881355932204
0.1,0.1,0.1
1.0,1.0,1.0
1.0,1.0,1.0
0.64,0.64,0.64
0.0,0.0,0.0
0.8795180722891566,0.8795180722891566,0.8795180722891566
0.0,0.7368421052631579,0.7368421052631579
1.0,1.0,1.0
0.030303030303030304,0.030303030303030304,0.9545454545454546
0.0,0.0,0.0
1.0,1.0,1.0
0.7857142857142857,0.7857142857142857,0.7857142857142857
0.75,0.75,0.75
0.0,0.9900744416873449,0.9900744416873449
0.0,0.0,0.0
1.0,1.0,1.0
0.9473684210526315,0.9473684210526315,0.9473684210526315
1.0,1.0,1.0
0.0,0.0,0.0
0.8620689655172413,0.8620689655172413,1.0
0.06060606060606061,1.0,1.0
0.06060606060606061,1.0,1.0
0.9219219219219219,0.98998998998999,0.98998998998999
0.0,0.0,0.0
1.0,1.0,1.0
0.987012987012987,0.987012987012987,0.987012987012987
0.0,0.0,0.0
0.0,0.7105263157894737,0.7105263157894737
0.9772727272727273,0.9772727272727273,0.9772727272727273
1.0,1.0,1.0
0.6530612244897959,0.6530612244897959,0.6530612244897959
0.0,0.6976744186046512,0.6976744186046512
0.7045454545454546,0.9772727272727273,0.9772727272727273
1.0,1.0,1.0
0.0,0.7894736842105263,0.7894736842105263
0.39039039039039036,0.39039039039039036,0.39039039039039036
0.2222222222222222,0.2222222222222222,0.2222222222222222
0.0,0.0,0.0
1.0,1.0,1.0
0.6074766355140186,0.6074766355140186,0.6074766355140186
0.0,0.0,0.0
0.07692307692307693,0.07692307692307693,1.0
0.0,0.0,0.0
0.0,0.9154929577464789,0.9154929577464789
1.0,1.0,1.0
0.6938775510204082,0.9591836734693877,0.9591836734693877
1.0,1.0,1.0
0.23076923076923078,0.23076923076923078,0.23076923076923078
1.0,1.0,1.0
0.9294117647058824,0.9294117647058824,0.9294117647058824
1.0,1.0,1.0
0.0,0.0,0.0
0.07692307692307693,0.07692307692307693,0.07692307692307693
0.14285714285714285,0.14285714285714285,1.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,1.0
0.5581395348837209,0.5581395348837209,0.5581395348837209
0.20689655172413793,0.20689655172413793,0.20689655172413793
0.046511627906976744,0.046511627906976744,0.046511627906976744
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.7037037037037037,0.7037037037037037
0.0,0.0,0.0
0.7166666666666667,0.7166666666666667,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.3424657534246575,0.3424657534246575,0.3424657534246575
1.0,1.0,1.0
0.9113924050632911,0.9113924050632911,0.9113924050632911
1.0,1.0,1.0
0.0,0.0,0.0
0.0,0.0,0.0
0.2222222222222222,0.2222222222222222,0.2222222222222222
0.375,0.375,0.375
0.9583333333333334,0.9583333333333334,0.9583333333333334
0.0,0.0,0.0
1.0,1.0,1.0
0.0,0.0,0.0
1.0,1.0,1.0
0.5,0.5,0.5
0.7142857142857143,0.7142857142857143,0.7142857142857143
0.5045045045045045,0.5045045045045045,0.5045045045045045
0.2111801242236025,0.2111801242236025,0.2111801242236025
1.0,1.0,1.0
0.8103448275862069,0.8103448275862069,0.8103448275862069
1.0,1.0,1.0
0.0,0.0,0.0
0.13333333333333333,0.13333333333333333,0.13333333333333333
0.0,0.0,0.0
1.0,1.0,1.0
